HAVA_DURUMU;SICAKLIK;NEM;RUZGAR;BALIK_TUTMA
GUNESLI;SICAK;YUKSEK;ZAYIF;HAYIR
GUNESLI;SICAK;YUKSEK;KUVVETLI;HAYIR
BULUTLU;SICAK;YUKSEK;ZAYIF;EVET
YAGMURLU;ILIK;YUKSEK;ZAYIF;EVET
YAGMURLU;SOGUK;NORMAL;ZAYIF;EVET
YAGMURLU;SOGUK;NORMAL;KUVVETLI;HAYIR
BULUTLU;SOGUK;NORMAL;KUVVETLI;EVET
GUNESLI;ILIK;YUKSEK;ZAYIF;HAYIR
GUNESLI;SOGUK;NORMAL;ZAYIF;EVET
YAGMURLU;ILIK;NORMAL;ZAYIF;EVET
GUNESLI;ILIK;NORMAL;KUVVETLI;EVET
BULUTLU;ILIK;YUKSEK;KUVVETLI;EVET
BULUTLU;SICAK;NORMAL;ZAYIF;EVET
YAGMURLU;ILIK;YUKSEK;KUVVETLI;HAYIR
